,name,position,annual_salary,season
0,Stephen Curry,PG,48070014.0,2023.0
1,Stephen Curry,PG,45780966.0,2022.0
2,LeBron James,SF,44474988.0,2023.0
3,James Harden,SG,44310840.0,2022.0
4,John Wall,PG,44310840.0,2022.0
5,Russell Westbrook,PG,44211146.0,2022.0
6,Kevin Durant,PF,44119845.0,2023.0
7,Bradley Beal,SG,43279250.0,2023.0
8,Stephen Curry,PG,43006362.0,2021.0
9,Damian Lillard,PG,42492492.0,2023.0
10,Paul George,PF,42492492.0,2023.0
11,Giannis Antetokounmpo,PF,42492492.0,2023.0
12,Kawhi Leonard,SF,42492492.0,2023.0
13,Kevin Durant,PF,42018900.0,2022.0
14,Russell Westbrook,PG,41358814.0,2021.0
15,Chris Paul,PG,41358814.0,2021.0
16,James Harden,SG,41254920.0,2021.0
17,John Wall,PG,41254920.0,2021.0
18,LeBron James,SF,41180544.0,2022.0
19,Klay Thompson,SG,40600080.0,2023.0
20,Stephen Curry,PG,40231758.0,2020.0
21,Kevin Durant,PF,40108950.0,2021.0
22,Giannis Antetokounmpo,PF,39344970.0,2022.0
23,Damian Lillard,PG,39344900.0,2022.0
24,Paul George,PF,39344900.0,2022.0
25,Kawhi Leonard,SF,39344900.0,2022.0
26,LeBron James,SF,39219565.0,2021.0
27,Kyrie Irving,PG,38917057.0,2023.0
28,Russell Westbrook,PG,38506482.0,2020.0
29,Chris Paul,PG,38506482.0,2020.0
30,Kevin Durant,PF,38199000.0,2020.0
31,John Wall,PG,38199000.0,2020.0
32,James Harden,SG,38199000.0,2020.0
33,Rudy Gobert,C,38172414.0,2023.0
34,Klay Thompson,SG,37980720.0,2022.0
35,Anthony Davis,PF,37980720.0,2023.0
36,Khris Middleton,SF,37948276.0,2023.0
37,Jimmy Butler,SF,37653300.0,2023.0
38,Tobias Harris,PF,37633050.0,2023.0
39,Stephen Curry,PG,37457154.0,2018.0
40,Stephen Curry,PG,37457154.0,2019.0
41,LeBron James,SF,37436858.0,2020.0
42,Zach LaVine,SG,37096500.0,2023.0
43,Trae Young,PG,37095000.0,2023.0
44,Luka Doncic,PG,37095000.0,2023.0
45,Jimmy Butler,SF,36016200.0,2022.0
46,Tobias Harris,PF,35995950.0,2022.0
47,LeBron James,SF,35654150.0,2019.0
48,Chris Paul,PG,35654150.0,2019.0
49,Russell Westbrook,PG,35654150.0,2019.0
50,Khris Middleton,SF,35500000.0,2022.0
51,Paul George,PF,35450412.0,2021.0
52,Ben Simmons,PG,35448672.0,2023.0
53,Pascal Siakam,PF,35448672.0,2023.0
54,Klay Thompson,SG,35361360.0,2021.0
55,Anthony Davis,PF,35361360.0,2022.0
56,Rudy Gobert,C,35344828.0,2022.0
57,Kyrie Irving,PG,35328700.0,2022.0
58,Myles Turner,C,35096500.0,2023.0
59,Kyle Lowry,PG,34996296.0,2020.0
60,Mike Conley,PG,34502130.0,2021.0
61,Blake Griffin,PF,34449964.0,2020.0
62,Kawhi Leonard,SF,34379100.0,2021.0
63,Jimmy Butler,SF,34379100.0,2021.0
64,Kemba Walker,PG,34379100.0,2021.0
65,Tobias Harris,PF,34358850.0,2021.0
66,Devin Booker,SG,33833400.0,2023.0
67,Kristaps Porzingis,C,33833400.0,2023.0
68,Karl-Anthony Towns,C,33833400.0,2023.0
69,Bradley Beal,SG,33724200.0,2022.0
70,Jrue Holiday,PG,33665040.0,2023.0
71,Joel Embiid,C,33616770.0,2023.0
72,Andrew Wiggins,SF,33616770.0,2023.0
73,CJ McCollum,SG,33333333.0,2023.0
74,Khris Middleton,SF,33051724.0,2021.0
75,Nikola Jokic,C,33047804.0,2023.0
76,Ben Simmons,PG,33003936.0,2022.0
77,Pascal Siakam,PF,33003936.0,2022.0
78,James Harden,SG,33000000.0,2023.0
79,Tobias Harris,PF,32742000.0,2020.0
80,Kawhi Leonard,SF,32742000.0,2020.0
81,Kemba Walker,PG,32742000.0,2020.0
82,Jimmy Butler,SF,32742000.0,2020.0
83,Klay Thompson,SG,32742000.0,2020.0
84,Anthony Davis,PF,32742000.0,2021.0
85,Gordon Hayward,SF,32700690.0,2020.0
86,Mike Conley,PG,32511624.0,2020.0
87,Jrue Holiday,PG,32413333.0,2022.0
88,Blake Griffin,PF,32088932.0,2018.0
89,Blake Griffin,PF,32088932.0,2019.0
90,Kyrie Irving,PG,31742000.0,2020.0
91,Kyrie Irving,PG,31742000.0,2021.0
92,Devin Booker,SG,31650600.0,2022.0
93,Kristaps Porzingis,C,31650600.0,2022.0
94,Karl-Anthony Towns,C,31650600.0,2022.0
95,Brandon Ingram,SF,31650600.0,2023.0
96,Jamal Murray,PG,31650000.0,2023.0
97,Damian Lillard,PG,31626953.0,2021.0
98,Andrew Wiggins,SF,31579390.0,2022.0
99,Joel Embiid,C,31579390.0,2022.0
100,Nikola Jokic,C,31579390.0,2022.0
101,D'Angelo Russell,PG,31377750.0,2023.0
102,Paul Millsap,PF,31269231.0,2018.0
103,Kevin Love,PF,31258256.0,2021.0
104,Kevin Love,PF,31258256.0,2022.0
105,Gordon Hayward,SF,31214295.0,2019.0
106,Kyle Lowry,PG,31200000.0,2018.0
107,Kyle Lowry,PG,31200000.0,2019.0
108,LeBron James,SF,30963450.0,2017.0
109,Shai Gilgeous-Alexander,PG,30913750.0,2023.0
110,Michael Porter Jr.,SF,30913750.0,2023.0
111,Deandre Ayton,C,30913750.0,2023.0
112,Donovan Mitchell,SG,30913750.0,2023.0
113,CJ McCollum,SG,30864198.0,2022.0
114,Khris Middleton,SF,30603448.0,2020.0
115,Paul George,PF,30560700.0,2019.0
116,Paul George,PF,30560700.0,2020.0
117,Pascal Siakam,PF,30559200.0,2021.0
118,Ben Simmons,PG,30559200.0,2021.0
119,Mike Conley,PG,30521115.0,2019.0
120,Kyle Lowry,PG,30500000.0,2021.0
121,Kobe Bryant,SF,30453805.0,2013.0
122,Kobe Bryant,SF,30453805.0,2014.0
123,James Harden,SG,30421854.0,2019.0
124,Bam Adebayo,C,30351780.0,2023.0
125,Paul Millsap,PF,30350000.0,2020.0
126,Gordon Hayward,SF,30075000.0,2023.0
127,D'Angelo Russell,PG,30013500.0,2022.0
128,Kevin Durant,PF,30000000.0,2019.0
129,Chris Paul,PG,30000000.0,2022.0
130,Gordon Hayward,SF,29925000.0,2022.0
131,Damian Lillard,PG,29802321.0,2020.0
132,Gordon Hayward,SF,29727900.0,2018.0
133,Steven Adams,C,29592696.0,2021.0
134,Joel Embiid,C,29542010.0,2021.0
135,Nikola Jokic,C,29542010.0,2021.0
136,Andrew Wiggins,SF,29542010.0,2021.0
137,Karl-Anthony Towns,C,29467800.0,2021.0
138,Devin Booker,SG,29467800.0,2021.0
139,Kristaps Porzingis,C,29467800.0,2021.0
140,Brandon Ingram,SF,29467800.0,2022.0
141,Jamal Murray,PG,29467800.0,2022.0
142,Shaquille O'Neal,C,29464000.0,2005.0
143,CJ McCollum,SG,29354152.0,2021.0
144,Paul Millsap,PF,29230769.0,2019.0
145,Jaren Jackson Jr.,PF,28946605.0,2023.0
146,Kevin Love,PF,28942830.0,2020.0
147,Al Horford,C,28928709.0,2019.0
148,Bradley Beal,SG,28751775.0,2021.0
149,Jaylen Brown,SG,28741071.0,2023.0
150,D'Angelo Russell,PG,28649250.0,2021.0
151,Mike Conley,PG,28530608.0,2018.0
152,Russell Westbrook,PG,28530608.0,2018.0
153,Gordon Hayward,SF,28500000.0,2021.0
154,Otto Porter Jr.,SF,28489237.0,2021.0
155,Chris Paul,PG,28400000.0,2023.0
156,Kyle Lowry,PG,28333334.0,2023.0
157,James Harden,SG,28299399.0,2018.0
158,De'Aaron Fox,PG,28103550.0,2022.0
159,De'Aaron Fox,PG,28103550.0,2023.0
160,Bam Adebayo,C,28103500.0,2022.0
161,Jayson Tatum,SF,28103500.0,2022.0
162,Donovan Mitchell,SG,28103500.0,2022.0
163,Jayson Tatum,SF,28103500.0,2023.0
164,Kevin Garnett,PF,28000000.0,2004.0
165,Al Horford,C,28000000.0,2020.0
166,Nikola Vucevic,C,28000000.0,2020.0
167,Damian Lillard,PG,27977689.0,2019.0
168,DeMar DeRozan,SF,27739975.0,2018.0
169,DeMar DeRozan,SF,27739975.0,2019.0
170,DeMar DeRozan,SF,27739975.0,2020.0
171,DeMar DeRozan,SF,27739975.0,2021.0
172,Al Horford,C,27734406.0,2018.0
173,Jalen Brunson,PG,27733332.0,2023.0
174,CJ McCollum,SG,27556959.0,2020.0
175,Giannis Antetokounmpo,PF,27528090.0,2021.0
176,Rudy Gobert,C,27525281.0,2021.0
177,Andrew Wiggins,SF,27504630.0,2020.0
178,Joel Embiid,C,27504630.0,2020.0
179,Nikola Jokic,C,27504630.0,2020.0
180,Al Horford,C,27500000.0,2021.0
181,DeMar DeRozan,SF,27300000.0,2023.0
182,Devin Booker,SG,27285000.0,2020.0
183,D'Angelo Russell,PG,27285000.0,2020.0
184,Karl-Anthony Towns,C,27285000.0,2020.0
185,Kristaps Porzingis,C,27285000.0,2020.0
186,Brandon Ingram,SF,27285000.0,2021.0
187,Jamal Murray,PG,27285000.0,2021.0
188,Otto Porter Jr.,SF,27250575.0,2020.0
189,Andre Drummond,C,27093019.0,2020.0
190,Bradley Beal,SG,27093019.0,2020.0
191,Anthony Davis,PF,27093018.0,2020.0
192,Hassan Whiteside,C,27093017.0,2020.0
193,Al Horford,C,27000000.0,2022.0
194,Kyle Lowry,PG,26894128.0,2022.0
195,Jaylen Brown,SG,26758928.0,2022.0
196,Shaquille O'Neal,C,26571000.0,2004.0
197,Kevin Durant,PF,26540100.0,2017.0
198,James Harden,SG,26540100.0,2017.0
199,DeMar DeRozan,SF,26540100.0,2017.0
200,Mike Conley,PG,26540100.0,2017.0
201,Russell Westbrook,PG,26540100.0,2017.0
202,Al Horford,C,26540100.0,2017.0
203,Al Horford,C,26500000.0,2023.0
204,Carmelo Anthony,PF,26243760.0,2018.0
205,Jrue Holiday,PG,26231111.0,2020.0
206,Jrue Holiday,PG,26231111.0,2021.0
207,Damian Lillard,PG,26153057.0,2018.0
208,Otto Porter Jr.,SF,26011913.0,2018.0
209,Otto Porter Jr.,SF,26011913.0,2019.0
210,LaMarcus Aldridge,C,26000000.0,2020.0
211,Nikola Vucevic,C,26000000.0,2021.0
212,DeMar DeRozan,SF,26000000.0,2022.0
213,Jrue Holiday,PG,25976111.0,2019.0
214,Giannis Antetokounmpo,PF,25842697.0,2020.0
215,Steven Adams,C,25842697.0,2020.0
216,Draymond Green,PF,25806468.0,2023.0
217,CJ McCollum,SG,25759766.0,2019.0
218,Jrue Holiday,PG,25686667.0,2018.0
219,Marc Gasol,C,25595700.0,2020.0
220,Nicolas Batum,PF,25565217.0,2020.0
221,Andrew Wiggins,SF,25467250.0,2019.0
222,Joel Embiid,C,25467250.0,2019.0
223,Andre Drummond,C,25434263.0,2018.0
224,Bradley Beal,SG,25434263.0,2018.0
225,Anthony Davis,PF,25434263.0,2019.0
226,Bradley Beal,SG,25434263.0,2019.0
227,Andre Drummond,C,25434263.0,2019.0
228,Hassan Whiteside,C,25434262.0,2018.0
229,Hassan Whiteside,C,25434262.0,2019.0
230,Joel Embiid,C,25250000.0,2018.0
231,Kobe Bryant,SF,25244493.0,2012.0
232,Chandler Parsons,SF,25102511.0,2020.0
233,Chandler Parsons,SF,25102511.0,2021.0
234,Kobe Bryant,SF,25000000.0,2016.0
235,Dirk Nowitzki,PF,25000000.0,2017.0
236,Kobe Bryant,SF,24806250.0,2011.0
237,Kevin Garnett,PF,24751934.0,2009.0
238,Buddy Hield,SG,24701834.0,2021.0
239,Nikola Jokic,C,24605181.0,2019.0
240,Chris Paul,PG,24599495.0,2018.0
241,Carmelo Anthony,PF,24559380.0,2017.0
242,Damian Lillard,PG,24328425.0,2017.0
243,Giannis Antetokounmpo,PF,24157303.0,2018.0
244,Steven Adams,C,24157303.0,2019.0
245,Giannis Antetokounmpo,PF,24157303.0,2019.0
246,Harrison Barnes,SF,24147727.0,2020.0
247,Kevin Love,PF,24119025.0,2018.0
248,Marc Gasol,C,24119025.0,2019.0
249,Kevin Love,PF,24119025.0,2019.0
250,Harrison Barnes,SF,24107258.0,2019.0
251,Chandler Parsons,SF,24107258.0,2019.0
252,Draymond Green,PF,24026712.0,2022.0
253,Nicolas Batum,PF,24000000.0,2018.0
254,Nicolas Batum,PF,24000000.0,2019.0
255,LaMarcus Aldridge,C,24000000.0,2021.0
256,Nikola Vucevic,C,24000000.0,2022.0
257,CJ McCollum,SG,23962573.0,2018.0
258,Dwight Howard,C,23819725.0,2018.0
259,Anthony Davis,PF,23775506.0,2018.0
260,Julius Randle,PF,23760000.0,2023.0
261,Kevin Garnett,PF,23751934.0,2008.0
262,Chris Bosh,PF,23741060.0,2017.0
263,Jaylen Brown,SG,23735118.0,2021.0
264,Kobe Bryant,SF,23500000.0,2015.0
265,John Collins,PF,23500000.0,2023.0
266,Serge Ibaka,PF,23271604.0,2020.0
267,Rudy Gobert,C,23241573.0,2019.0
268,Rudy Gobert,C,23241573.0,2020.0
269,Dwyane Wade,SG,23200000.0,2017.0
270,Joe Johnson,SG,23180790.0,2015.0
271,Dwight Howard,C,23180275.0,2017.0
272,Kawhi Leonard,SF,23114067.0,2019.0
273,Harrison Barnes,SF,23112004.0,2018.0
274,Chandler Parsons,SF,23112004.0,2018.0
275,Kobe Bryant,SF,23034375.0,2010.0
276,Jermaine O'Neal,C,23016000.0,2010.0
277,John Collins,PF,23000000.0,2022.0
278,LeBron James,SF,22970500.0,2016.0
279,DeAndre Jordan,C,22897200.0,2019.0
280,Carmelo Anthony,PF,22875000.0,2016.0
281,Chris Paul,PG,22868827.0,2017.0
282,Tracy McGrady,SG,22843124.0,2010.0
283,Buddy Hield,SG,22768890.0,2022.0
284,Buddy Hield,SG,22768890.0,2023.0
285,Dirk Nowitzki,PF,22721381.0,2014.0
286,Mike Conley,PG,22680000.0,2023.0
287,Brook Lopez,C,22642650.0,2018.0
288,DeAndre Jordan,C,22642350.0,2018.0
289,Marc Gasol,C,22642350.0,2018.0
290,Danilo Gallinari,PF,22615559.0,2020.0
291,Malcolm Brogdon,PG,22600000.0,2023.0
292,Steven Adams,C,22471910.0,2018.0
293,Carmelo Anthony,PF,22458401.0,2015.0
294,Dwight Howard,C,22359364.0,2016.0
295,LaMarcus Aldridge,C,22347015.0,2019.0
296,Anfernee Simons,SG,22321429.0,2023.0
297,Draymond Green,PF,22246956.0,2021.0
298,Harrison Barnes,SF,22215909.0,2021.0
299,Chris Bosh,PF,22192730.0,2016.0
300,Tim Duncan,C,22183220.0,2010.0
301,Harrison Barnes,SF,22116750.0,2017.0
302,Anthony Davis,PF,22116750.0,2017.0
303,Chandler Parsons,SF,22116750.0,2017.0
304,Hassan Whiteside,C,22116750.0,2017.0
305,Bradley Beal,SG,22116750.0,2017.0
306,Andre Drummond,C,22116750.0,2017.0
307,Nikola Vucevic,C,22000000.0,2023.0
308,Rudy Gobert,C,21924719.0,2018.0
309,Julius Randle,PF,21780000.0,2022.0
310,Malcolm Brogdon,PG,21700000.0,2022.0
311,Amar'e Stoudemire,C,21679893.0,2014.0
312,Serge Ibaka,PF,21666667.0,2018.0
313,Serge Ibaka,PF,21666667.0,2019.0
314,Aaron Gordon,PF,21590909.0,2019.0
315,Danilo Gallinari,PF,21587579.0,2019.0
316,Terry Rozier,SG,21486283.0,2023.0
