,name,position,annual_salary
0,LeBron James,SF,23318005.11764706
1,Stephen Curry,PG,22050262.14285714
2,Kobe Bryant,SF,21925882.923076924
3,James Harden,SG,21781893.0
4,Damian Lillard,PG,21415545.818181816
5,Kevin Durant,PF,20936869.3125
6,Joel Embiid,C,20760090.0
7,Anthony Davis,PF,20700147.90909091
8,Bradley Beal,SG,20424730.363636363
9,Chris Paul,PG,19988716.388888888
10,Paul George,PF,19983908.692307692
11,Russell Westbrook,PG,19566520.2
12,Kyrie Irving,PG,19495095.5
13,Kawhi Leonard,SF,19449027.25
14,Giannis Antetokounmpo,PF,19213799.6
15,Andrew Wiggins,SF,19173365.888888888
16,Nikola Jokic,C,18801112.125
17,Klay Thompson,SG,18783840.833333332
18,John Wall,PG,18594878.46153846
19,Karl-Anthony Towns,C,18494604.375
20,Gordon Hayward,SF,18430733.692307692
21,Jimmy Butler,SF,18312718.833333332
22,Khris Middleton,SF,18300756.3
23,CJ McCollum,SG,18131344.0
24,Ben Simmons,PG,17985419.714285713
25,Shaquille O'Neal,C,17971040.222222224
26,Kristaps Porzingis,C,17760043.5
27,D'Angelo Russell,PG,17725102.0
28,Tobias Harris,PF,17635023.666666668
29,Rudy Gobert,C,17495375.6
30,Stephon Marbury,PG,16935937.5
31,Al Horford,C,16888982.1875
32,Allan Houston,SG,16734000.0
33,Kevin Garnett,PF,16607142.857142856
34,DeMar DeRozan,SF,16562501.42857143
35,Devin Booker,SG,16527745.625
36,Kevin Love,PF,16170708.333333334
37,Brandon Ingram,SF,16032440.714285715
38,Mike Conley,PG,15818130.875
39,Jrue Holiday,PG,15728234.357142856
40,Chris Bosh,PF,15631096.083333334
41,Chandler Parsons,SF,15226728.4
42,Zach LaVine,SG,15192697.5
43,Harrison Barnes,SF,15180117.272727273
44,Pascal Siakam,PF,15092798.42857143
45,Blake Griffin,PF,14703417.642857144
46,Jamal Murray,PG,14701929.42857143
47,Steven Adams,C,14676000.3
48,Kyle Lowry,PG,14581274.94117647
49,Jayson Tatum,SF,14380053.333333334
50,Jaylen Brown,SG,14377055.142857144
51,Draymond Green,PF,14344585.818181818
52,Deandre Ayton,C,14167540.0
53,Latrell Sprewell,SG,14062500.0
54,Tim Duncan,C,14053492.0
55,Dirk Nowitzki,PF,14030394.125
56,LaMarcus Aldridge,C,14012632.1875
57,Luka Doncic,PG,13912550.2
58,Tracy McGrady,SG,13726871.0
59,Antawn Jamison,PF,13614982.285714285
60,Carmelo Anthony,PF,13555516.764705881
61,Aaron Gordon,PF,13525743.625
62,Yao Ming,C,13491276.0
63,Bogdan Bogdanovic,SG,13490277.666666666
64,De'Aaron Fox,PG,13463267.833333334
65,Fred VanVleet,PG,13453232.833333334
66,Nikola Vucevic,C,13046481.666666666
67,Jason Kidd,PG,12943944.444444444
68,Trae Young,PG,12724542.2
69,Malcolm Brogdon,PG,12716414.57142857
70,Otto Porter Jr.,SF,12637839.727272727
71,Antonio Davis,PF,12621666.666666666
72,Jermaine O'Neal,C,12609509.888888888
73,Myles Turner,C,12592333.5
74,Marc Gasol,C,12577683.2
75,Dwight Howard,C,12538550.8125
76,Amar'e Stoudemire,C,12531166.636363637
77,Pau Gasol,PF,12368993.4375
78,Paul Pierce,SF,12326820.384615384
79,Ray Allen,SG,12325736.363636363
80,Buddy Hield,SG,12305466.0
81,Zach Randolph,PF,12285182.333333334
82,Danilo Gallinari,PF,12277654.266666668
83,Donovan Mitchell,SG,12263545.166666666
84,Tim Hardaway Jr.,SF,12246986.8
85,Bam Adebayo,C,12156088.666666666
86,Vlade Divac,C,12051000.0
87,Dwyane Wade,SG,12005327.266666668
88,Carlos Boozer,PF,11978349.9
89,Markelle Fultz,PG,11952276.166666666
90,Lonzo Ball,PG,11935192.833333334
91,Allen Crabbe,SG,11891784.5
92,Raef LaFrentz,C,11829653.0
93,Gilbert Arenas,PG,11732638.42857143
94,Tom Gugliotta,PF,11668000.0
95,Jaren Jackson Jr.,PF,11645409.0
96,Julius Randle,PF,11625218.0
97,Paul Millsap,PF,11617069.0625
98,Bojan Bogdanovic,SF,11614907.0
99,Serge Ibaka,PF,11595879.846153846
100,Michael Redd,SG,11569207.0
101,Evan Fournier,SG,11546022.272727273
102,Brook Lopez,C,11520385.6
103,Eric Bledsoe,SG,11448792.846153846
104,Glenn Robinson,SF,11365000.0
105,Kemba Walker,PG,11334012.25
106,Eric Gordon,SG,11330792.142857144
107,Rashard Lewis,PF,11269029.0
108,Jalen Rose,SG,11250062.5
109,Anfernee Hardaway,SF,11161402.5
110,Vin Baker,PF,11154887.75
111,Jonas Valanciunas,C,11127327.0
112,Zion Williamson,PF,11067784.25
113,Paolo Banchero,PF,11055120.0
114,Victor Oladipo,SG,10970034.454545455
115,Joe Johnson,SG,10905292.470588235
116,Terry Rozier,SG,10869499.125
117,Nicolas Batum,PF,10841087.133333333
118,Tyson Chandler,C,10708521.666666666
119,Ricky Rubio,PG,10659478.0
120,Chris Webber,C,10635684.0
121,Derrick Rose,PG,10595742.0
122,Andre Drummond,C,10582198.181818182
123,Gary Harris,SG,10528846.111111112
124,Rudy Gay,SF,10477723.588235294
125,Wally Szczerbiak,SG,10447400.0
126,Allen Iverson,SG,10421836.9
127,Tony Parker,SG,10421058.6875
128,Andre Iguodala,PF,10394530.388888888
129,Cade Cunningham,PG,10301460.0
130,DeAndre Jordan,C,10299676.866666667
131,Keith Van Horn,PF,10298071.8
132,Andrei Kirilenko,SF,10266882.0
133,Anthony Edwards,SG,10245440.0
134,Deron Williams,PG,10181159.75
135,Derrick Favors,PF,10104678.153846154
136,Al Jefferson,C,10071275.153846154
137,Antoine Walker,PF,9999653.333333334
138,Jordan Clarkson,PG,9949988.333333334
139,Baron Davis,PG,9937975.333333334
140,Marcus Smart,PG,9937547.625
141,Domantas Sabonis,PF,9912765.0
142,Chet Holmgren,PF,9891240.0
143,Steve Nash,PG,9889750.0
144,Evan Turner,SG,9857225.7
145,Clint Capela,C,9784743.111111112
146,Luol Deng,PF,9779812.357142856
147,Hassan Whiteside,C,9778043.363636363
148,Marvin Bagley III,PF,9727494.8
149,Shawn Marion,SG,9698220.0
150,John Collins,PF,9653670.333333334
151,Jonathan Isaac,PF,9651194.333333334
152,Glen Rice,SF,9600000.0
153,Rasheed Wallace,PF,9592558.777777778
154,Timofey Mozgov,C,9590129.181818182
155,Shai Gilgeous-Alexander,PG,9575776.4
156,Kerry Kittles,SG,9542000.0
157,Nikola Mirotic,PF,9518739.285714285
158,Elton Brand,PF,9377317.846153846
159,Mehmet Okur,C,9340625.0
160,Jamal Mashburn,SF,9300000.0
161,Ja Morant,PG,9275940.0
162,Nikola Pekovic,C,9264475.0
163,Jalen Green,SG,9217020.0
164,Michael Porter Jr.,SF,9201369.0
165,Norman Powell,SG,9189678.25
166,Tristan Thompson,C,9179948.916666666
167,James Wiseman,C,9166800.0
168,Jerami Grant,SF,9138019.333333334
169,Brian Grant,PF,9083333.333333334
170,Brandon Knight,PG,9065537.444444444
171,Goran Dragic,PG,9005191.4
172,Marcus Camby,C,8991742.0
173,Davis Bertans,SF,8979440.285714285
174,Kenyon Martin,PF,8966197.363636363
175,Joakim Noah,C,8911579.5
176,RJ Barrett,SG,8899068.75
177,Kentavious Caldwell-Pope,SG,8894740.0
178,Jabari Smith Jr.,PF,8882640.0
179,Lauri Markkanen,PF,8878418.5
180,Joe Harris,SF,8847724.75
181,Marcin Gortat,C,8797068.285714285
182,Thaddeus Young,PF,8657531.0
183,Jason Richardson,SG,8631569.909090908
184,Caris LeVert,SG,8584799.714285715
185,Tyreke Evans,SG,8540304.5
186,Omer Asik,C,8451498.090909092
187,Shareef Abdur-Rahim,PF,8420833.333333334
188,Kelly Olynyk,PF,8405272.0
189,Richard Hamilton,SG,8399555.555555556
190,Jarrett Allen,C,8392497.0
191,Brad Miller,C,8344500.0
192,Vince Carter,SG,8342295.444444444
193,Evan Mobley,PF,8276940.0
194,Joe Ingles,SG,8246966.888888889
195,LaMelo Ball,PG,8231880.0
196,Nene Hilario,C,8224779.6875
197,Lamar Odom,PF,8194310.6
198,Cuttino Mobley,SG,8191737.9
199,Jusuf Nurkic,C,8135922.777777778
200,Kelly Oubre Jr.,SG,8118017.5
201,Monta Ellis,SG,8118006.230769231
202,Jeff Teague,PG,8097858.833333333
203,Josh Richardson,SG,8043414.125
204,De'Andre Hunter,SF,8025410.25
205,Keegan Murray,SF,8008440.0
206,Corey Maggette,SF,7984666.666666667
207,Dwight Powell,C,7984613.333333333
208,Kent Bazemore,SF,7973199.2
209,Manu Ginobili,SG,7923754.25
210,Steve Francis,PG,7912762.6
211,Chauncey Billups,PG,7884279.0
212,Cody Zeller,C,7872803.3
213,Roy Hibbert,C,7862046.555555556
214,Ryan Anderson,PF,7859419.538461538
215,Nick Van Exel,PG,7817457.666666667
216,Damon Stoudamire,PG,7802088.4
217,Andrew Bogut,C,7791887.285714285
218,Gerald Wallace,SF,7782000.0
219,Dennis Schroder,PG,7773695.2
220,Mike Bibby,PG,7763713.875
221,Peja Stojakovic,SF,7759792.222222222
222,Wesley Person,SF,7700000.0
223,Al Harrington,PF,7677381.25
224,Ben Gordon,SG,7650966.555555556
225,Mark Blount,C,7636062.0
226,DeMarcus Cousins,C,7597891.083333333
227,Erick Dampier,C,7597857.0
228,Michael Kidd-Gilchrist,PF,7570395.75
229,Miles Plumlee,C,7552663.777777778
230,Marcus Morris Sr.,SF,7552488.5
231,Andrew Bynum,C,7538806.666666667
232,Dejounte Murray,SG,7520768.142857143
233,Mikal Bridges,SF,7506537.0
234,Gary Trent Jr.,SG,7484835.4
235,Bismack Biyombo,C,7482061.333333333
236,Scottie Barnes,SF,7462620.0
237,Eddie Jones,SG,7428314.666666667
238,Terrence Ross,SG,7424564.545454546
239,Patrick Williams,PF,7421920.0
240,Marvin Williams,PF,7415950.666666667
241,Chris Kaman,C,7415866.090909091
242,Mason Plumlee,C,7372852.0
243,Collin Sexton,PG,7353022.2
244,Malik Beasley,SG,7329915.428571428
245,Emeka Okafor,C,7317136.307692308
246,Robert Covington,PF,7315678.7
247,Malik Rose,PF,7313323.5
248,Richard Jefferson,PF,7304085.0
249,Grant Hill,SF,7289350.0
250,George Hill,PG,7280484.733333333
251,O.G. Anunoby,SF,7275137.833333333
252,Darius Garland,PG,7270828.75
253,Jaden Ivey,PG,7252200.0
254,Eddy Curry,NA,7247135.625
255,Ben Wallace,PF,7239829.7
256,Zydrunas Ilgauskas,C,7237090.1
257,Luke Kennard,SG,7235803.0
258,Wendell Carter Jr.,C,7232293.4
259,Larry Hughes,SG,7200670.571428572
260,Doug Christie,SG,7187500.0
261,Ron Mercer,SG,7169000.0
262,Andrea Bargnani,C,7160964.363636363
263,Spencer Dinwiddie,PG,7142935.555555556
264,Duncan Robinson,PF,7128437.4
265,Tayshaun Prince,SF,7110035.545454546
266,Enes Freedom,C,7051015.083333333
267,Bobby Simmons,SF,6979141.428571428
268,Tiago Splitter,C,6977750.0
269,Samuel Dalembert,C,6905417.153846154
270,Mo Bamba,C,6880084.6
271,JJ Redick,SG,6863929.142857143
272,David West,PF,6862469.076923077
273,Reggie Jackson,PG,6828007.416666667
274,Courtney Lee,SG,6818254.846153846
275,Josh Smith,PF,6772366.583333333
276,Rajon Rondo,PG,6769800.875
277,Jalen Brunson,PG,6769220.4
278,Derrick White,PG,6767925.333333333
279,Danny Green,PF,6766392.714285715
280,Jalen Suggs,SG,6757680.0
281,Wesley Matthews,SG,6754710.357142857
282,Tyler Johnson,SG,6725570.0
283,Isaac Okoro,SF,6720840.0
284,John Henson,PF,6695514.375
285,Doug McDermott,SF,6659603.666666667
286,Trevor Ariza,SF,6649819.333333333
287,Brandon Roy,SG,6613707.142857143
288,David Lee,PF,6603946.916666667
289,Stephen Jackson,SF,6590343.75
290,Bennedict Mathurin,SG,6586800.0
291,Robin Lopez,C,6567685.666666667
292,Alec Burks,SG,6552336.666666667
293,T.J. Warren,SF,6540237.888888889
294,Greg Ostertag,C,6533000.0
295,Greg Monroe,C,6525398.25
296,Maurice Taylor,PF,6523637.75
297,Tomas Satoransky,SG,6500000.0
298,Jason Terry,SG,6484846.153846154
299,Anfernee Simons,SG,6484473.4
300,Dillon Brooks,SF,6468729.5
301,Larry Nance Jr.,PF,6463507.75
302,Andris Biedrins,C,6435127.0
303,Ian Mahinmi,C,6426153.461538462
304,Andre Miller,PG,6418795.166666667
305,Kevin Martin,SG,6385593.2727272725
306,Jamal Crawford,SG,6382538.3125
307,Howard Eisley,PG,6374666.666666667
308,Andres Nocioni,SF,6359375.0
309,Taj Gibson,C,6354139.142857143
310,Taurean Prince,PF,6300563.714285715
311,Eddie Robinson,SF,6246000.0
312,Jeremy Lamb,SG,6244704.8
313,Milos Teodosic,SG,6225000.0
314,Kelvin Cato,C,6180137.75
315,DeMarre Carroll,PF,6179821.909090909
316,Jarrett Culver,SG,6177060.0
317,Josh Giddey,SG,6137640.0
318,Dante Exum,SG,6125047.222222222
319,Kirk Hinrich,SG,6114677.090909091
320,Will Barton,SG,6112919.454545454
321,Onyeka Okongwu,PF,6104360.0
322,Jerome James,C,6100000.0
323,Maxi Kleber,PF,6082309.5
324,Hedo Turkoglu,SF,6077775.0
325,Meyers Leonard,C,6042739.1
326,Jae Crowder,PF,6042409.636363637
327,Danny Fortson,C,6038665.0
328,Coby White,PG,6032878.75
329,Mirza Teletovic,PF,6031191.666666667
330,Charlie Ward,PG,6030000.0
331,Shaedon Sharpe,SG,6012960.0
332,Boris Diaw,C,5999104.538461538
333,Michael Finley,SG,5936714.285714285
334,Mike Dunleavy,SG,5932576.615384615
335,Alvin Williams,PG,5900000.0
336,Tim Thomas,PF,5898526.4
337,Jeremy Lin,SG,5887316.222222222
338,Jose Calderon,SG,5881233.615384615
339,Matt Harpring,SF,5880000.0
340,Cory Joseph,PG,5847010.083333333
341,JR Smith,SG,5832563.933333334
342,Eric Snow,PG,5828125.0
343,James Johnson,PF,5823307.571428572
344,Christian Wood,PF,5804040.375
345,Christian Laettner,PF,5802000.0
346,Antonio Daniels,PG,5800000.0
347,De'Anthony Melton,SG,5798708.0
348,Kyle Kuzma,SF,5775029.666666667
349,Gorgui Dieng,C,5772428.5
350,O.J. Mayo,SG,5768679.625
351,James Posey,SF,5766700.0
352,Corliss Williamson,PF,5750000.0
353,Justise Winslow,PF,5746626.5
354,Solomon Hill,SF,5735678.2
355,Antonio McDyess,PF,5727925.777777778
356,Kyle Anderson,SF,5724125.777777778
357,Cristiano Felicio,PF,5716201.5
358,Jabari Parker,PF,5715800.625
359,John Salmons,SF,5710630.3
360,Wilson Chandler,PF,5710094.642857143
361,Chris Boucher,PF,5701129.8
362,Marko Jaric,PG,5698114.625
363,Clarence Weatherspoon,PF,5672000.0
364,P.J. Tucker,PF,5670787.666666667
365,Jahidi White,C,5639000.0
366,Caron Butler,SF,5635270.076923077
367,Al-Farouq Aminu,SF,5634206.0
368,Maurice Harkless,SF,5630650.818181818
369,Alex Abrines,SG,5617094.4
370,Jonathan Kuminga,PF,5603110.0
371,P.J. Brown,PF,5595550.0
372,Josh Jackson,SG,5592678.0
373,Talen Horton-Tucker,SG,5544072.75
374,Jaxson Hayes,C,5529623.0
375,Josh Hart,SG,5525999.833333333
376,Jakob Poeltl,C,5514783.714285715
377,Dyson Daniels,SG,5508600.0
378,Patrick Beverley,PG,5503005.75
379,Jerome Williams,PF,5500000.0
380,Metta World Peace,SF,5496962.545454546
381,Tony Snell,SF,5484957.9
382,Killian Hayes,PG,5484160.0
383,Cedi Osman,SF,5476190.833333333
384,Shawn Bradley,C,5454000.0
385,Avery Johnson,PG,5445000.0
386,Austin Croshere,PF,5439698.5
387,Iman Shumpert,SG,5437381.444444444
388,Troy Hudson,PG,5428000.0
389,Dario Saric,PF,5407706.571428572
390,Dikembe Mutombo,C,5392384.111111111
391,Patty Mills,PG,5389026.428571428
392,Kenneth Faried,PF,5387873.0
393,Delon Wright,SG,5370664.25
394,Aron Baynes,C,5356972.444444444
395,Jeff Green,PF,5333788.5
396,Kwame Brown,C,5320321.2
397,Luke Babbitt,PF,5308206.7
398,Gerald Henderson,SG,5288940.0
399,Kevin Huerter,SG,5282289.2
400,Avery Bradley,PG,5263004.166666667
401,Amir Johnson,PF,5261582.538461538
402,Darren Collison,PG,5243649.75
403,Mo Williams,PG,5234544.153846154
404,Bobby Portis,PF,5205935.25
405,Danny Granger,SF,5205335.0
406,Kyle Korver,SG,5201037.6
407,Mike Miller,SG,5180434.6
408,Arron Afflalo,SG,5177299.7272727275
409,Troy Murphy,PF,5168055.6
410,Jameer Nelson,SG,5167314.0
411,Quentin Richardson,SF,5166760.0
412,Devin Harris,SG,5146810.071428572
413,Franz Wagner,SF,5133060.0
414,Brendan Haywood,C,5123697.090909091
415,Lou Williams,SG,5122684.388888889
416,Zach Collins,PF,5113769.166666667
417,Obi Toppin,PF,5105160.0
418,Rui Hachimura,PF,5085337.0
419,Jeremy Sochan,PF,5063520.0
420,Ruben Patterson,PF,5055362.0
421,Royce O'Neale,PF,5052062.833333333
422,Darko Milicic,C,5046213.875
423,Kenny Thomas,PF,5041326.222222222
424,T.J. Ford,PG,5027035.625
425,Toni Kukoc,SF,5025000.0
426,Devonte' Graham,PG,5023835.4
